Planet Earth II`(2016)`9.5`David Attenborough`https://www.imdb.com/title/tt5491994/
Attack on Titan`(2013)`8.8`Marina Inoue, Yûki Kaji`https://www.imdb.com/title/tt2560140/
Twin Peaks`(1990)`8.8`Kyle MacLachlan, Michael Ontkean`https://www.imdb.com/title/tt0098936/
Over the Garden Wall`(2014)`8.8`Elijah Wood, Collin Dean`https://www.imdb.com/title/tt3718778/
Ramayan`(1987)`8.8`Arun Govil, Deepika Chikhalia`https://www.imdb.com/title/tt0268093/
Narcos`(2015)`8.7`Pedro Pascal, Wagner Moura`https://www.imdb.com/title/tt2707408/
Blackadder Goes Forth`(1989)`8.7`Rowan Atkinson, Tony Robinson`https://www.imdb.com/title/tt0096548/
One Punch Man`(2015)`8.7`Makoto Furukawa, Kaito Ishikawa`https://www.imdb.com/title/tt4508902/
Peaky Blinders`(2013)`8.7`Cillian Murphy, Paul Anderson`https://www.imdb.com/title/tt2442560/
Chappelle's Show`(2003)`8.7`Dave Chappelle, Donnell Rawlings`https://www.imdb.com/title/tt0353049/
Freaks and Geeks`(1999)`8.7`Linda Cardellini, John Francis Daley`https://www.imdb.com/title/tt0193676/
Fawlty Towers`(1975)`8.7`John Cleese, Prunella Scales`https://www.imdb.com/title/tt0072500/
Kota Factory`(2019)`8.7`Mayur More, Jitendra Kumar`https://www.imdb.com/title/tt9432978/
It's Always Sunny in Philadelphia`(2005)`8.7`Charlie Day, Glenn Howerton`https://www.imdb.com/title/tt0472954/
Dark`(2017)`8.7`Louis Hofmann, Karoline Eichhorn`https://www.imdb.com/title/tt5753856/
The Mandalorian`(2019)`8.7`Pedro Pascal, Gina Carano`https://www.imdb.com/title/tt8111088/
Dragon Ball Z`(1989)`8.7`Jôji Yanami, Kyle Hebert`https://www.imdb.com/title/tt0121220/
Steins;Gate`(2011)`8.7`Mamoru Miyano, Asami Imai`https://www.imdb.com/title/tt1910272/
The West Wing`(1999)`8.7`Martin Sheen, Rob Lowe`https://www.imdb.com/title/tt0200276/
Rome`(2005)`8.7`Kevin McKidd, Ray Stevenson`https://www.imdb.com/title/tt0384766/
Better Call Saul`(2015)`8.7`Bob Odenkirk, Rhea Seehorn`https://www.imdb.com/title/tt3032476/
Dragon Ball Z`(1996)`8.7`Doc Harris, Christopher Sabat`https://www.imdb.com/title/tt0214341/
Stranger Things`(2016)`8.7`Millie Bobby Brown, Finn Wolfhard`https://www.imdb.com/title/tt4574334/
Senke nad Balkanom`(2017)`8.7`Andrija Kuzmanovic, Marija Bergam`https://www.imdb.com/title/tt6108262/
Leyla and Mecnun`(2011)`8.7`Ali Atay, Ahmet Mümtaz Taylan`https://www.imdb.com/title/tt1831164/
Arrested Development`(2003)`8.7`Jason Bateman, Michael Cera`https://www.imdb.com/title/tt0367279/
Oz`(1997)`8.7`Ernie Hudson, J.K. Simmons`https://www.imdb.com/title/tt0118421/
Vratice se rode`(2007)`8.7`Nikola Djuricko, Dragan Bjelogrlic`https://www.imdb.com/title/tt1043822/
Curb Your Enthusiasm`(2000)`8.7`Larry David, Cheryl Hines`https://www.imdb.com/title/tt0264235/
I, Claudius`(1976)`8.7`Derek Jacobi, John Hurt`https://www.imdb.com/title/tt0074006/
BoJack Horseman`(2014)`8.7`Will Arnett, Amy Sedaris`https://www.imdb.com/title/tt3398228/
Mahabharat`(1988)`8.7`Harish Bhimani, Nitish Bharadwaj`https://www.imdb.com/title/tt0158417/
Vinland Saga`(2019)`8.7`Naoya Uchida, Hiroki Yasumoto`https://www.imdb.com/title/tt10233448/
Fleabag`(2016)`8.7`Phoebe Waller-Bridge, Sian Clifford`https://www.imdb.com/title/tt5687612/
The Boys`(2019)`8.7`Karl Urban, Jack Quaid`https://www.imdb.com/title/tt1190634/
House of Cards`(2013)`8.7`Kevin Spacey, Michel Gill`https://www.imdb.com/title/tt1856010/
The Marvelous Mrs. Maisel`(2017)`8.7`Rachel Brosnahan, Alex Borstein`https://www.imdb.com/title/tt5788792/
The Promised Neverland`(2019)`8.7`Sumire Morohoshi, Maaya Uchida`https://www.imdb.com/title/tt8788458/
The Adventures of Sherlock Holmes`(1984)`8.7`Jeremy Brett, David Burke`https://www.imdb.com/title/tt0086661/
Justice League Unlimited`(2004)`8.7`George Newbern, Kevin Conroy`https://www.imdb.com/title/tt6025022/
One Strange Rock`(2018)`8.7`Will Smith, Chris Hadfield`https://www.imdb.com/title/tt7651892/
Sarabhai V/S Sarabhai`(2004)`8.7`Satish Shah, Ratna Pathak Shah`https://www.imdb.com/title/tt1518542/
Six Feet Under`(2001)`8.6`Peter Krause, Michael C. Hall`https://www.imdb.com/title/tt0248654/
The Thick of It`(2005)`8.6`Chris Addison, James Smith`https://www.imdb.com/title/tt0459159/
South Park`(1997)`8.6`Trey Parker, Matt Stone`https://www.imdb.com/title/tt0121955/
Still Game`(2002)`8.6`Ford Kiernan, Greg Hemphill`https://www.imdb.com/title/tt0281491/
The Jinx: The Life and Deaths of Robert Durst`(2015)`8.6`Robert Durst, Andrew Jarecki`https://www.imdb.com/title/tt4299972/
The Universe`(2007)`8.6`Erik Thompson, Alex Filippenko`https://www.imdb.com/title/tt1051155/
The Return of Sherlock Holmes`(1986)`8.6`Jeremy Brett, Edward Hardwicke`https://www.imdb.com/title/tt0090509/
One Piece`(1999)`8.6`Mayumi Tanaka, Tony Beck`https://www.imdb.com/title/tt0388629/
The Simpsons`(1989)`8.6`Dan Castellaneta, Nancy Cartwright`https://www.imdb.com/title/tt0096697/
House`(2004)`8.6`Hugh Laurie, Omar Epps`https://www.imdb.com/title/tt0412142/
The Crown`(2016)`8.6`Claire Foy, Olivia Colman`https://www.imdb.com/title/tt4786824/
Critical Role`(2015)`8.6`Liam O'Brien, Matthew Mercer`https://www.imdb.com/title/tt4834232/
Demon Slayer: Kimetsu No Yaiba`(2019)`8.6`Natsuki Hanae, Zach Aguilar`https://www.imdb.com/title/tt9335498/
Battlestar Galactica`(2004)`8.6`Edward James Olmos, Mary McDonnell`https://www.imdb.com/title/tt0407362/
Yeh Meri Family`(2018)`8.6`Vishesh Bansal, Mona Singh`https://www.imdb.com/title/tt8595766/
The Queen's Gambit`(2020)`8.6`Anya Taylor-Joy, Chloe Pirrie`https://www.imdb.com/title/tt10048342/
The Shield`(2002)`8.6`Michael Chiklis, Catherine Dent`https://www.imdb.com/title/tt0286486/
Top Gear`(2002)`8.6`Jeremy Clarkson, Richard Hammond`https://www.imdb.com/title/tt1628033/
Westworld`(2016)`8.6`Evan Rachel Wood, Jeffrey Wright`https://www.imdb.com/title/tt0475784/
The Grand Tour`(2016)`8.6`Jeremy Clarkson, James May`https://www.imdb.com/title/tt5712554/
Ted Lasso`(2020)`8.6`Jason Sudeikis, Hannah Waddingham`https://www.imdb.com/title/tt10986410/
World War II in Colour`(2009)`8.6`Robert Powell, Swaylee Loughnane`https://www.imdb.com/title/tt2069688/
Berserk`(1997)`8.6`Nobutoshi Canna, Marc Diraison`https://www.imdb.com/title/tt0318871/
