City Lights`(1931)`8.5`Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill`https://www.imdb.com/title/tt0021749/
The Departed`(2006)`8.5`Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon`https://www.imdb.com/title/tt0407887/
The Intouchables`(2011)`8.5`Olivier Nakache (dir.), François Cluzet, Omar Sy`https://www.imdb.com/title/tt1675434/
Whiplash`(2014)`8.5`Damien Chazelle (dir.), Miles Teller, J.K. Simmons`https://www.imdb.com/title/tt2582802/
The Prestige`(2006)`8.5`Christopher Nolan (dir.), Christian Bale, Hugh Jackman`https://www.imdb.com/title/tt0482571/
Grave of the Fireflies`(1988)`8.5`Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi`https://www.imdb.com/title/tt0095327/
Once Upon a Time in the West`(1968)`8.4`Sergio Leone (dir.), Henry Fonda, Charles Bronson`https://www.imdb.com/title/tt0064116/
Casablanca`(1942)`8.4`Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman`https://www.imdb.com/title/tt0034583/
Cinema Paradiso`(1988)`8.4`Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale`https://www.imdb.com/title/tt0095765/
Rear Window`(1954)`8.4`Alfred Hitchcock (dir.), James Stewart, Grace Kelly`https://www.imdb.com/title/tt0047396/
Hamilton`(2020)`8.4`Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo`https://www.imdb.com/title/tt8503618/
Alien`(1979)`8.4`Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt`https://www.imdb.com/title/tt0078748/
Apocalypse Now`(1979)`8.4`Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando`https://www.imdb.com/title/tt0078788/
Memento`(2000)`8.4`Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss`https://www.imdb.com/title/tt0209144/
The Great Dictator`(1940)`8.4`Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard`https://www.imdb.com/title/tt0032553/
